"Group.1","Retail.Price","Dealer.Cost","Engine.Size..l.","Cyl","HP","City.MPG","Hwy.MPG","Weight","Wheel.Base"
"1","Minivan",27796.5,25355.5,3.535,5.9,204.45,17.9,24.45,4193.6,117.4
"2","Pickup",24941.375,22616.75,4.07916666666667,6.25,224.833333333333,16.8370571658615,21.4127415458937,4250.75,123
"3","Regular",29814.3591836735,27446.1428571429,2.90857142857143,5.53061224489796,200.085714285714,21.7053238686779,29.2781721384206,3321.78775510204,107.185091501389
"4","SUV",34790.25,31625.35,3.92,6.56666666666667,235.816666666667,16.2681561996779,20.7317632850242,4444.43333333333,111.083333333333
"5","Sports Car",53387.0612244898,48473.1632653061,3.44285714285714,6.04081632653061,284.163265306122,18.6567090604358,25.7716651878143,3295.69387755102,99.9795918367347
"6","Wagon",28840.5333333333,26645.6333333333,2.77,5.3,194,20.9363123993559,27.7635265700483,3438.8,105.8
